SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
54052,1,부산여행,여행,국내여행,부산광역시,662,1876,2538,20230315
54053,2,제주여행,여행,국내여행,제주특별자치도,552,1410,1962,20230315
54054,3,경주여행,여행,국내여행,경상북도,519,1336,1855,20230315
54055,4,여수여행,여행,국내여행,전라남도,393,1279,1672,20230315
54056,5,군산여행,여행,국내여행,전라북도,275,1230,1505,20230315
54057,6,강릉여행,여행,국내여행,강원도,289,892,1181,20230315
54058,7,전주여행,여행,국내여행,전라북도,260,857,1117,20230315
54059,8,대구여행,여행,국내여행,대구광역시,212,604,816,20230315
54060,9,남해여행,여행,국내여행,경상남도,208,568,776,20230315
54061,10,속초여행,여행,국내여행,강원도,196,574,770,20230315
