SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
54092,1,부산여행,여행,국내여행,부산광역시,301,2300,2601,20230319
54093,2,경주여행,여행,국내여행,경상북도,175,1915,2090,20230319
54094,3,여수여행,여행,국내여행,전라남도,141,1900,2041,20230319
54095,4,제주여행,여행,국내여행,제주특별자치도,202,1825,2027,20230319
54096,5,군산여행,여행,국내여행,전라북도,96,1589,1685,20230319
54097,6,남해여행,여행,국내여행,경상남도,114,1212,1326,20230319
54098,7,전주여행,여행,국내여행,전라북도,112,1165,1277,20230319
54099,8,강릉여행,여행,국내여행,강원도,139,941,1080,20230319
54100,9,대구여행,여행,국내여행,대구광역시,99,834,933,20230319
54101,10,속초여행,여행,국내여행,강원도,93,682,775,20230319
