"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","AREA_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"43442","1","제주여행","여행","국내여행","제주특별자치도","2035","454","2489","20200625"
"43443","2","부산여행","여행","국내여행","부산광역시","1683","553","2236","20200625"
"43444","3","여수여행","여행","국내여행","전라남도","1113","425","1538","20200625"
"43445","4","강릉여행","여행","국내여행","강원도","1073","366","1439","20200625"
"43446","5","경주여행","여행","국내여행","경상북도","912","299","1211","20200625"
"43447","6","남해여행","여행","국내여행","경상남도","746","261","1007","20200625"
"43448","7","속초여행","여행","국내여행","강원도","738","256","994","20200625"
"43449","8","군산여행","여행","국내여행","전라북도","439","195","634","20200625"
"43450","9","전주여행","여행","국내여행","전라북도","456","170","626","20200625"
"43451","10","춘천여행","여행","국내여행","강원도","390","137","527","20200625"
