SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
53242,1,부산여행,여행,국내여행,부산광역시,744,2853,3597,20221227
53243,2,여수여행,여행,국내여행,전라남도,295,1707,2002,20221227
53244,3,제주여행,여행,국내여행,제주특별자치도,416,1575,1991,20221227
53245,4,경주여행,여행,국내여행,경상북도,333,1201,1534,20221227
53246,5,강릉여행,여행,국내여행,강원도,333,1172,1505,20221227
53247,6,군산여행,여행,국내여행,전라북도,230,1058,1288,20221227
53248,7,속초여행,여행,국내여행,강원도,230,958,1188,20221227
53249,8,전주여행,여행,국내여행,전라북도,227,849,1076,20221227
53250,9,대구여행,여행,국내여행,대구광역시,195,678,873,20221227
53251,10,남해여행,여행,국내여행,경상남도,160,588,748,20221227
