SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
54512,1,부산여행,여행,국내여행,부산광역시,308,2810,3118,20230429
54513,2,여수여행,여행,국내여행,전라남도,171,2108,2279,20230429
54514,3,경주여행,여행,국내여행,경상북도,181,1850,2031,20230429
54515,4,군산여행,여행,국내여행,전라북도,135,1819,1954,20230429
54516,5,강릉여행,여행,국내여행,강원도,175,1316,1491,20230429
54517,6,전주여행,여행,국내여행,전라북도,115,1241,1356,20230429
54518,7,제주여행,여행,국내여행,제주특별자치도,145,1188,1333,20230429
54519,8,속초여행,여행,국내여행,강원도,106,1086,1192,20230429
54520,9,남해여행,여행,국내여행,경상남도,95,905,1000,20230429
54521,10,대구여행,여행,국내여행,대구광역시,98,901,999,20230429
