"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","AREA_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"42522","1","제주여행","여행","국내여행","제주특별자치도","1674","267","1941","20200325"
"42523","2","강릉여행","여행","국내여행","강원도","547","227","774","20200325"
"42524","3","여수여행","여행","국내여행","전라남도","469","159","628","20200325"
"42525","4","부산여행","여행","국내여행","부산광역시","437","156","593","20200325"
"42526","5","속초여행","여행","국내여행","강원도","429","145","574","20200325"
"42527","6","전주여행","여행","국내여행","전라북도","287","105","392","20200325"
"42528","7","경주여행","여행","국내여행","경상북도","250","95","345","20200325"
"42529","8","군산여행","여행","국내여행","전라북도","221","108","329","20200325"
"42530","9","남해여행","여행","국내여행","경상남도","233","92","325","20200325"
"42531","10","춘천여행","여행","국내여행","강원도","192","56","248","20200325"
