SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
52972,1,부산여행,여행,국내여행,부산광역시,628,1907,2535,20221130
52973,2,제주여행,여행,국내여행,제주특별자치도,359,1281,1640,20221130
52974,3,여수여행,여행,국내여행,전라남도,237,1047,1284,20221130
52975,4,경주여행,여행,국내여행,경상북도,272,935,1207,20221130
52976,5,강릉여행,여행,국내여행,강원도,252,733,985,20221130
52977,6,전주여행,여행,국내여행,전라북도,209,569,778,20221130
52978,7,군산여행,여행,국내여행,전라북도,187,580,767,20221130
52979,8,속초여행,여행,국내여행,강원도,212,551,763,20221130
52980,9,대구여행,여행,국내여행,대구광역시,182,456,638,20221130
52981,10,남해여행,여행,국내여행,경상남도,130,350,480,20221130
