SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
54402,1,부산여행,여행,국내여행,부산광역시,832,2193,3025,20230418
54403,2,여수여행,여행,국내여행,전라남도,430,1563,1993,20230418
54404,3,제주여행,여행,국내여행,제주특별자치도,478,1513,1991,20230418
54405,4,경주여행,여행,국내여행,경상북도,582,1306,1888,20230418
54406,5,군산여행,여행,국내여행,전라북도,255,1087,1342,20230418
54407,6,강릉여행,여행,국내여행,강원도,376,911,1287,20230418
54408,7,전주여행,여행,국내여행,전라북도,276,837,1113,20230418
54409,8,대구여행,여행,국내여행,대구광역시,208,683,891,20230418
54410,9,속초여행,여행,국내여행,강원도,230,636,866,20230418
54411,10,남해여행,여행,국내여행,경상남도,227,637,864,20230418
