SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
54622,1,부산여행,여행,국내여행,부산광역시,697,1747,2444,20230510
54623,2,경주여행,여행,국내여행,경상북도,475,1368,1843,20230510
54624,3,여수여행,여행,국내여행,전라남도,459,1270,1729,20230510
54625,4,제주여행,여행,국내여행,제주특별자치도,384,1234,1618,20230510
54626,5,군산여행,여행,국내여행,전라북도,258,966,1224,20230510
54627,6,강릉여행,여행,국내여행,강원도,367,784,1151,20230510
54628,7,전주여행,여행,국내여행,전라북도,284,755,1039,20230510
54629,8,속초여행,여행,국내여행,강원도,240,617,857,20230510
54630,9,남해여행,여행,국내여행,경상남도,228,586,814,20230510
54631,10,대구여행,여행,국내여행,대구광역시,200,611,811,20230510
