SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
54112,1,부산여행,여행,국내여행,부산광역시,681,1952,2633,20230321
54113,2,경주여행,여행,국내여행,경상북도,647,1629,2276,20230321
54114,3,제주여행,여행,국내여행,제주특별자치도,445,1640,2085,20230321
54115,4,여수여행,여행,국내여행,전라남도,422,1544,1966,20230321
54116,5,군산여행,여행,국내여행,전라북도,277,1107,1384,20230321
54117,6,강릉여행,여행,국내여행,강원도,384,874,1258,20230321
54118,7,전주여행,여행,국내여행,전라북도,349,900,1249,20230321
54119,8,남해여행,여행,국내여행,경상남도,284,673,957,20230321
54120,9,대구여행,여행,국내여행,대구광역시,329,577,906,20230321
54121,10,속초여행,여행,국내여행,강원도,256,644,900,20230321
