SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
54222,1,부산여행,여행,국내여행,부산광역시,524,1719,2243,20230331
54223,2,경주여행,여행,국내여행,경상북도,433,1324,1757,20230331
54224,3,여수여행,여행,국내여행,전라남도,275,1300,1575,20230331
54225,4,군산여행,여행,국내여행,전라북도,201,1207,1408,20230331
54226,5,제주여행,여행,국내여행,제주특별자치도,252,1086,1338,20230331
54227,6,강릉여행,여행,국내여행,강원도,239,819,1058,20230331
54228,7,전주여행,여행,국내여행,전라북도,234,718,952,20230331
54229,8,속초여행,여행,국내여행,강원도,170,570,740,20230331
54230,9,남해여행,여행,국내여행,경상남도,179,557,736,20230331
54231,10,순천여행,여행,국내여행,전라남도,117,559,676,20230331
