SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
53262,1,부산여행,여행,국내여행,부산광역시,702,2709,3411,20221229
53263,2,여수여행,여행,국내여행,전라남도,322,1573,1895,20221229
53264,3,제주여행,여행,국내여행,제주특별자치도,342,1440,1782,20221229
53265,4,경주여행,여행,국내여행,경상북도,257,1273,1530,20221229
53266,5,강릉여행,여행,국내여행,강원도,305,1182,1487,20221229
53267,6,속초여행,여행,국내여행,강원도,249,1010,1259,20221229
53268,7,군산여행,여행,국내여행,전라북도,181,1061,1242,20221229
53269,8,전주여행,여행,국내여행,전라북도,204,819,1023,20221229
53270,9,대구여행,여행,국내여행,대구광역시,171,675,846,20221229
53271,10,목포여행,여행,국내여행,전라남도,146,487,633,20221229
