"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","AREA_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"48702","1","부산여행","여행","국내여행","부산광역시","496","1717","2213","20211203"
"48703","2","제주여행","여행","국내여행","제주특별자치도","335","1234","1569","20211203"
"48704","3","강릉여행","여행","국내여행","강원도","241","929","1170","20211203"
"48705","4","여수여행","여행","국내여행","전라남도","256","910","1166","20211203"
"48706","5","경주여행","여행","국내여행","경상북도","309","847","1156","20211203"
"48707","6","속초여행","여행","국내여행","강원도","213","591","804","20211203"
"48708","7","전주여행","여행","국내여행","전라북도","165","502","667","20211203"
"48709","8","군산여행","여행","국내여행","전라북도","183","425","608","20211203"
"48710","9","남해여행","여행","국내여행","경상남도","136","371","507","20211203"
"48711","10","포항여행","여행","국내여행","경상북도","121","376","497","20211203"
