SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
54012,1,부산여행,여행,국내여행,부산광역시,383,1797,2180,20230311
54013,2,군산여행,여행,국내여행,전라북도,86,1478,1564,20230311
54014,3,여수여행,여행,국내여행,전라남도,137,1405,1542,20230311
54015,4,제주여행,여행,국내여행,제주특별자치도,167,1232,1399,20230311
54016,5,경주여행,여행,국내여행,경상북도,160,1188,1348,20230311
54017,6,전주여행,여행,국내여행,전라북도,99,850,949,20230311
54018,7,강릉여행,여행,국내여행,강원도,114,804,918,20230311
54019,8,속초여행,여행,국내여행,강원도,60,662,722,20230311
54020,9,대구여행,여행,국내여행,대구광역시,40,542,582,20230311
54021,10,남해여행,여행,국내여행,경상남도,62,519,581,20230311
