SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
54382,1,부산여행,여행,국내여행,부산광역시,293,2814,3107,20230416
54383,2,여수여행,여행,국내여행,전라남도,133,2066,2199,20230416
54384,3,경주여행,여행,국내여행,경상북도,211,1666,1877,20230416
54385,4,제주여행,여행,국내여행,제주특별자치도,175,1566,1741,20230416
54386,5,군산여행,여행,국내여행,전라북도,102,1435,1537,20230416
54387,6,강릉여행,여행,국내여행,강원도,151,1299,1450,20230416
54388,7,전주여행,여행,국내여행,전라북도,128,1079,1207,20230416
54389,8,남해여행,여행,국내여행,경상남도,98,763,861,20230416
54390,9,속초여행,여행,국내여행,강원도,107,736,843,20230416
54391,10,대구여행,여행,국내여행,대구광역시,73,766,839,20230416
