SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
53462,1,부산여행,여행,국내여행,부산광역시,748,2581,3329,20230116
53463,2,제주여행,여행,국내여행,제주특별자치도,490,1988,2478,20230116
53464,3,여수여행,여행,국내여행,전라남도,392,1566,1958,20230116
53465,4,경주여행,여행,국내여행,경상북도,393,1404,1797,20230116
53466,5,강릉여행,여행,국내여행,강원도,292,1068,1360,20230116
53467,6,군산여행,여행,국내여행,전라북도,195,988,1183,20230116
53468,7,전주여행,여행,국내여행,전라북도,225,907,1132,20230116
53469,8,속초여행,여행,국내여행,강원도,210,614,824,20230116
53470,9,대구여행,여행,국내여행,대구광역시,211,598,809,20230116
53471,10,남해여행,여행,국내여행,경상남도,185,513,698,20230116
