"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","AREA_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"47652","1","제주여행","여행","국내여행","제주특별자치도","326","1033","1359","20210820"
"47653","2","부산여행","여행","국내여행","부산광역시","278","1028","1306","20210820"
"47654","3","경주여행","여행","국내여행","경상북도","346","903","1249","20210820"
"47655","4","여수여행","여행","국내여행","전라남도","297","929","1226","20210820"
"47656","5","강릉여행","여행","국내여행","강원도","234","686","920","20210820"
"47657","6","속초여행","여행","국내여행","강원도","167","566","733","20210820"
"47658","7","군산여행","여행","국내여행","전라북도","158","493","651","20210820"
"47659","8","전주여행","여행","국내여행","전라북도","171","466","637","20210820"
"47660","9","남해여행","여행","국내여행","경상남도","175","429","604","20210820"
"47661","10","통영여행","여행","국내여행","경상남도","130","387","517","20210820"
