"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","AREA_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"41862","1","부산여행","여행","국내여행","부산광역시","2797","450","3247","20200119"
"41863","2","제주여행","여행","국내여행","제주특별자치도","2089","248","2337","20200119"
"41864","3","여수여행","여행","국내여행","전라남도","1224","127","1351","20200119"
"41865","4","경주여행","여행","국내여행","경상북도","1206","111","1317","20200119"
"41866","5","강릉여행","여행","국내여행","강원도","1075","193","1268","20200119"
"41867","6","속초여행","여행","국내여행","강원도","712","105","817","20200119"
"41868","7","군산여행","여행","국내여행","전라북도","678","84","762","20200119"
"41869","8","전주여행","여행","국내여행","전라북도","644","89","733","20200119"
"41870","9","대구여행","여행","국내여행","대구광역시","639","84","723","20200119"
"41871","10","안동여행","여행","국내여행","경상북도","416","45","461","20200119"
