SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
53352,1,부산여행,여행,국내여행,부산광역시,361,3188,3549,20230107
53353,2,제주여행,여행,국내여행,제주특별자치도,180,1964,2144,20230107
53354,3,여수여행,여행,국내여행,전라남도,166,1709,1875,20230107
53355,4,경주여행,여행,국내여행,경상북도,146,1370,1516,20230107
53356,5,강릉여행,여행,국내여행,강원도,150,1280,1430,20230107
53357,6,군산여행,여행,국내여행,전라북도,94,1319,1413,20230107
53358,7,속초여행,여행,국내여행,강원도,116,912,1028,20230107
53359,8,전주여행,여행,국내여행,전라북도,112,913,1025,20230107
53360,9,대구여행,여행,국내여행,대구광역시,101,777,878,20230107
53361,10,포항여행,여행,국내여행,경상북도,63,645,708,20230107
