SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
53222,1,부산여행,여행,국내여행,부산광역시,302,2830,3132,20221225
53223,2,제주여행,여행,국내여행,제주특별자치도,145,1661,1806,20221225
53224,3,여수여행,여행,국내여행,전라남도,133,1600,1733,20221225
53225,4,경주여행,여행,국내여행,경상북도,131,1297,1428,20221225
53226,5,강릉여행,여행,국내여행,강원도,121,1173,1294,20221225
53227,6,군산여행,여행,국내여행,전라북도,85,976,1061,20221225
53228,7,속초여행,여행,국내여행,강원도,104,937,1041,20221225
53229,8,전주여행,여행,국내여행,전라북도,94,788,882,20221225
53230,9,대구여행,여행,국내여행,대구광역시,47,609,656,20221225
53231,10,포항여행,여행,국내여행,경상북도,73,489,562,20221225
