SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
53802,1,군산여행,여행,국내여행,전라북도,190,8078,8268,20230218
53803,2,부산여행,여행,국내여행,부산광역시,382,3035,3417,20230218
53804,3,제주여행,여행,국내여행,제주특별자치도,178,2035,2213,20230218
53805,4,여수여행,여행,국내여행,전라남도,161,2028,2189,20230218
53806,5,경주여행,여행,국내여행,경상북도,172,1601,1773,20230218
53807,6,강릉여행,여행,국내여행,강원도,178,1364,1542,20230218
53808,7,전주여행,여행,국내여행,전라북도,100,1333,1433,20230218
53809,8,속초여행,여행,국내여행,강원도,94,1109,1203,20230218
53810,9,대구여행,여행,국내여행,대구광역시,79,884,963,20230218
53811,10,대전여행,여행,국내여행,대전광역시,63,725,788,20230218
