"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","AREA_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"42952","1","제주여행","여행","국내여행","제주특별자치도","1673","427","2100","20200507"
"42953","2","부산여행","여행","국내여행","부산광역시","1017","321","1338","20200507"
"42954","3","여수여행","여행","국내여행","전라남도","747","241","988","20200507"
"42955","4","강릉여행","여행","국내여행","강원도","698","221","919","20200507"
"42956","5","경주여행","여행","국내여행","경상북도","601","206","807","20200507"
"42957","6","속초여행","여행","국내여행","강원도","433","163","596","20200507"
"42958","7","남해여행","여행","국내여행","경상남도","390","169","559","20200507"
"42959","8","군산여행","여행","국내여행","전라북도","380","150","530","20200507"
"42960","9","전주여행","여행","국내여행","전라북도","372","140","512","20200507"
"42961","10","춘천여행","여행","국내여행","강원도","246","87","333","20200507"
