SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
52982,1,부산여행,여행,국내여행,부산광역시,638,1885,2523,20221201
52983,2,제주여행,여행,국내여행,제주특별자치도,367,1244,1611,20221201
52984,3,여수여행,여행,국내여행,전라남도,257,1059,1316,20221201
52985,4,경주여행,여행,국내여행,경상북도,267,929,1196,20221201
52986,5,강릉여행,여행,국내여행,강원도,249,776,1025,20221201
52987,6,전주여행,여행,국내여행,전라북도,215,682,897,20221201
52988,7,속초여행,여행,국내여행,강원도,208,660,868,20221201
52989,8,군산여행,여행,국내여행,전라북도,167,678,845,20221201
52990,9,대구여행,여행,국내여행,대구광역시,150,448,598,20221201
52991,10,남해여행,여행,국내여행,경상남도,154,342,496,20221201
