SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
53652,1,부산여행,여행,국내여행,부산광역시,833,2802,3635,20230203
53653,2,제주여행,여행,국내여행,제주특별자치도,461,1762,2223,20230203
53654,3,여수여행,여행,국내여행,전라남도,340,1761,2101,20230203
53655,4,경주여행,여행,국내여행,경상북도,410,1424,1834,20230203
53656,5,강릉여행,여행,국내여행,강원도,351,1357,1708,20230203
53657,6,군산여행,여행,국내여행,전라북도,220,1310,1530,20230203
53658,7,전주여행,여행,국내여행,전라북도,277,1015,1292,20230203
53659,8,속초여행,여행,국내여행,강원도,228,995,1223,20230203
53660,9,대구여행,여행,국내여행,대구광역시,229,941,1170,20230203
53661,10,울진여행,여행,국내여행,경상북도,73,871,944,20230203
