"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","AREA_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"47332","1","부산여행","여행","국내여행","부산광역시","736","1945","2681","20210719"
"47333","2","제주여행","여행","국내여행","제주특별자치도","577","1824","2401","20210719"
"47334","3","여수여행","여행","국내여행","전라남도","601","1594","2195","20210719"
"47335","4","경주여행","여행","국내여행","경상북도","507","1161","1668","20210719"
"47336","5","남해여행","여행","국내여행","경상남도","348","769","1117","20210719"
"47337","6","강릉여행","여행","국내여행","강원도","296","800","1096","20210719"
"47338","7","속초여행","여행","국내여행","강원도","264","626","890","20210719"
"47339","8","전주여행","여행","국내여행","전라북도","260","559","819","20210719"
"47340","9","군산여행","여행","국내여행","전라북도","214","569","783","20210719"
"47341","10","포항여행","여행","국내여행","경상북도","205","562","767","20210719"
