SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
53392,1,부산여행,여행,국내여행,부산광역시,764,2594,3358,20230111
53393,2,제주여행,여행,국내여행,제주특별자치도,532,2172,2704,20230111
53394,3,여수여행,여행,국내여행,전라남도,317,1628,1945,20230111
53395,4,경주여행,여행,국내여행,경상북도,352,1219,1571,20230111
53396,5,강릉여행,여행,국내여행,강원도,328,1165,1493,20230111
53397,6,군산여행,여행,국내여행,전라북도,247,1154,1401,20230111
53398,7,속초여행,여행,국내여행,강원도,232,770,1002,20230111
53399,8,전주여행,여행,국내여행,전라북도,219,746,965,20230111
53400,9,대구여행,여행,국내여행,대구광역시,190,667,857,20230111
53401,10,남해여행,여행,국내여행,경상남도,162,521,683,20230111
