"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","AREA_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"41642","1","부산여행","여행","국내여행","부산광역시","3511","499","4010","20191228"
"41643","2","제주여행","여행","국내여행","제주특별자치도","1788","290","2078","20191228"
"41644","3","강릉여행","여행","국내여행","강원도","1408","229","1637","20191228"
"41645","4","여수여행","여행","국내여행","전라남도","1314","136","1450","20191228"
"41646","5","경주여행","여행","국내여행","경상북도","1284","140","1424","20191228"
"41647","6","속초여행","여행","국내여행","강원도","1077","115","1192","20191228"
"41648","7","군산여행","여행","국내여행","전라북도","853","79","932","20191228"
"41649","8","전주여행","여행","국내여행","전라북도","783","94","877","20191228"
"41650","9","대구여행","여행","국내여행","대구광역시","784","81","865","20191228"
"41651","10","포항여행","여행","국내여행","경상북도","509","63","572","20191228"
