"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","AREA_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"41212","1","부산여행","여행","국내여행","부산광역시","2231","735","2966","20191115"
"41213","2","제주여행","여행","국내여행","제주특별자치도","1093","319","1412","20191115"
"41214","3","강릉여행","여행","국내여행","강원도","808","286","1094","20191115"
"41215","4","경주여행","여행","국내여행","경상북도","772","287","1059","20191115"
"41216","5","여수여행","여행","국내여행","전라남도","787","226","1013","20191115"
"41217","6","속초여행","여행","국내여행","강원도","563","200","763","20191115"
"41218","7","군산여행","여행","국내여행","전라북도","554","176","730","20191115"
"41219","8","전주여행","여행","국내여행","전라북도","524","173","697","20191115"
"41220","9","대구여행","여행","국내여행","대구광역시","482","189","671","20191115"
"41221","10","순천여행","여행","국내여행","전라남도","340","101","441","20191115"
