"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","AREA_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"42802","1","제주여행","여행","국내여행","제주특별자치도","2264","563","2827","20200422"
"42803","2","부산여행","여행","국내여행","부산광역시","1255","462","1717","20200422"
"42804","3","여수여행","여행","국내여행","전라남도","1029","398","1427","20200422"
"42805","4","강릉여행","여행","국내여행","강원도","964","354","1318","20200422"
"42806","5","경주여행","여행","국내여행","경상북도","786","301","1087","20200422"
"42807","6","속초여행","여행","국내여행","강원도","731","295","1026","20200422"
"42808","7","전주여행","여행","국내여행","전라북도","659","268","927","20200422"
"42809","8","군산여행","여행","국내여행","전라북도","547","306","853","20200422"
"42810","9","남해여행","여행","국내여행","경상남도","549","256","805","20200422"
"42811","10","통영여행","여행","국내여행","경상남도","408","235","643","20200422"
