SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
53682,1,부산여행,여행,국내여행,부산광역시,961,3324,4285,20230206
53683,2,제주여행,여행,국내여행,제주특별자치도,585,2054,2639,20230206
53684,3,여수여행,여행,국내여행,전라남도,567,1994,2561,20230206
53685,4,경주여행,여행,국내여행,경상북도,542,1687,2229,20230206
53686,5,강릉여행,여행,국내여행,강원도,405,1317,1722,20230206
53687,6,군산여행,여행,국내여행,전라북도,294,1405,1699,20230206
53688,7,전주여행,여행,국내여행,전라북도,333,1174,1507,20230206
53689,8,속초여행,여행,국내여행,강원도,284,1088,1372,20230206
53690,9,대구여행,여행,국내여행,대구광역시,286,911,1197,20230206
53691,10,남해여행,여행,국내여행,경상남도,211,649,860,20230206
