"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","AREA_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"42052","1","부산여행","여행","국내여행","부산광역시","1738","429","2167","20200207"
"42053","2","제주여행","여행","국내여행","제주특별자치도","1596","326","1922","20200207"
"42054","3","강릉여행","여행","국내여행","강원도","778","232","1010","20200207"
"42055","4","여수여행","여행","국내여행","전라남도","782","208","990","20200207"
"42056","5","경주여행","여행","국내여행","경상북도","677","214","891","20200207"
"42057","6","속초여행","여행","국내여행","강원도","537","174","711","20200207"
"42058","7","전주여행","여행","국내여행","전라북도","452","147","599","20200207"
"42059","8","대구여행","여행","국내여행","대구광역시","466","123","589","20200207"
"42060","9","남해여행","여행","국내여행","경상남도","337","95","432","20200207"
"42061","10","포항여행","여행","국내여행","경상북도","303","119","422","20200207"
