SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
54502,1,부산여행,여행,국내여행,부산광역시,775,2233,3008,20230428
54503,2,여수여행,여행,국내여행,전라남도,485,1807,2292,20230428
54504,3,경주여행,여행,국내여행,경상북도,493,1528,2021,20230428
54505,4,군산여행,여행,국내여행,전라북도,289,1245,1534,20230428
54506,5,제주여행,여행,국내여행,제주특별자치도,318,1147,1465,20230428
54507,6,강릉여행,여행,국내여행,강원도,320,966,1286,20230428
54508,7,전주여행,여행,국내여행,전라북도,249,972,1221,20230428
54509,8,속초여행,여행,국내여행,강원도,302,828,1130,20230428
54510,9,대구여행,여행,국내여행,대구광역시,207,792,999,20230428
54511,10,남해여행,여행,국내여행,경상남도,268,714,982,20230428
