SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
54762,1,부산여행,여행,국내여행,부산광역시,983,2433,3416,20230524
54763,2,여수여행,여행,국내여행,전라남도,553,1692,2245,20230524
54764,3,경주여행,여행,국내여행,경상북도,633,1553,2186,20230524
54765,4,제주여행,여행,국내여행,제주특별자치도,409,1241,1650,20230524
54766,5,군산여행,여행,국내여행,전라북도,345,1247,1592,20230524
54767,6,강릉여행,여행,국내여행,강원도,436,1032,1468,20230524
54768,7,전주여행,여행,국내여행,전라북도,338,917,1255,20230524
54769,8,속초여행,여행,국내여행,강원도,301,723,1024,20230524
54770,9,대구여행,여행,국내여행,대구광역시,244,758,1002,20230524
54771,10,남해여행,여행,국내여행,경상남도,281,717,998,20230524
