"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","AREA_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"49212","1","부산여행","여행","국내여행","부산광역시","647","2354","3001","20220118"
"49213","2","제주여행","여행","국내여행","제주특별자치도","522","1988","2510","20220118"
"49214","3","경주여행","여행","국내여행","경상북도","329","1129","1458","20220118"
"49215","4","여수여행","여행","국내여행","전라남도","294","1164","1458","20220118"
"49216","5","강릉여행","여행","국내여행","강원도","328","1075","1403","20220118"
"49217","6","전주여행","여행","국내여행","전라북도","219","709","928","20220118"
"49218","7","군산여행","여행","국내여행","전라북도","189","695","884","20220118"
"49219","8","속초여행","여행","국내여행","강원도","206","675","881","20220118"
"49220","9","포항여행","여행","국내여행","경상북도","154","560","714","20220118"
"49221","10","남해여행","여행","국내여행","경상남도","188","475","663","20220118"
