"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","AREA_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"47232","1","부산여행","여행","국내여행","부산광역시","580","1696","2276","20210709"
"47233","2","제주여행","여행","국내여행","제주특별자치도","529","1737","2266","20210709"
"47234","3","여수여행","여행","국내여행","전라남도","486","1191","1677","20210709"
"47235","4","경주여행","여행","국내여행","경상북도","373","880","1253","20210709"
"47236","5","강릉여행","여행","국내여행","강원도","312","883","1195","20210709"
"47237","6","속초여행","여행","국내여행","강원도","247","640","887","20210709"
"47238","7","남해여행","여행","국내여행","경상남도","204","614","818","20210709"
"47239","8","통영여행","여행","국내여행","경상남도","184","426","610","20210709"
"47240","9","전주여행","여행","국내여행","전라북도","166","432","598","20210709"
"47241","10","군산여행","여행","국내여행","전라북도","150","445","595","20210709"
