"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","AREA_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"47252","1","부산여행","여행","국내여행","부산광역시","371","2068","2439","20210711"
"47253","2","제주여행","여행","국내여행","제주특별자치도","242","2100","2342","20210711"
"47254","3","여수여행","여행","국내여행","전라남도","297","1619","1916","20210711"
"47255","4","경주여행","여행","국내여행","경상북도","235","1354","1589","20210711"
"47256","5","강릉여행","여행","국내여행","강원도","239","1085","1324","20210711"
"47257","6","남해여행","여행","국내여행","경상남도","146","873","1019","20210711"
"47258","7","속초여행","여행","국내여행","강원도","138","838","976","20210711"
"47259","8","전주여행","여행","국내여행","전라북도","120","609","729","20210711"
"47260","9","통영여행","여행","국내여행","경상남도","104","578","682","20210711"
"47261","10","군산여행","여행","국내여행","전라북도","92","574","666","20210711"
