"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","AREA_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"46932","1","제주여행","여행","국내여행","제주특별자치도","804","1829","2633","20210609"
"46933","2","부산여행","여행","국내여행","부산광역시","848","1647","2495","20210609"
"46934","3","여수여행","여행","국내여행","전라남도","490","1166","1656","20210609"
"46935","4","강릉여행","여행","국내여행","강원도","479","1020","1499","20210609"
"46936","5","경주여행","여행","국내여행","경상북도","563","920","1483","20210609"
"46937","6","속초여행","여행","국내여행","강원도","302","602","904","20210609"
"46938","7","남해여행","여행","국내여행","경상남도","298","572","870","20210609"
"46939","8","전주여행","여행","국내여행","전라북도","219","499","718","20210609"
"46940","9","군산여행","여행","국내여행","전라북도","201","505","706","20210609"
"46941","10","통영여행","여행","국내여행","경상남도","182","403","585","20210609"
