"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","AREA_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"42222","1","제주여행","여행","국내여행","제주특별자치도","1421","287","1708","20200224"
"42223","2","부산여행","여행","국내여행","부산광역시","541","123","664","20200224"
"42224","3","강릉여행","여행","국내여행","강원도","487","115","602","20200224"
"42225","4","여수여행","여행","국내여행","전라남도","359","100","459","20200224"
"42226","5","속초여행","여행","국내여행","강원도","323","86","409","20200224"
"42227","6","대구여행","여행","국내여행","대구광역시","269","74","343","20200224"
"42228","7","경주여행","여행","국내여행","경상북도","226","65","291","20200224"
"42229","8","전주여행","여행","국내여행","전라북도","158","46","204","20200224"
"42230","9","군산여행","여행","국내여행","전라북도","149","43","192","20200224"
"42231","10","남해여행","여행","국내여행","경상남도","120","40","160","20200224"
