SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
54722,1,부산여행,여행,국내여행,부산광역시,299,2279,2578,20230520
54723,2,여수여행,여행,국내여행,전라남도,165,1706,1871,20230520
54724,3,경주여행,여행,국내여행,경상북도,200,1428,1628,20230520
54725,4,군산여행,여행,국내여행,전라북도,90,1463,1553,20230520
54726,5,제주여행,여행,국내여행,제주특별자치도,133,1110,1243,20230520
54727,6,강릉여행,여행,국내여행,강원도,133,1089,1222,20230520
54728,7,전주여행,여행,국내여행,전라북도,108,969,1077,20230520
54729,8,속초여행,여행,국내여행,강원도,89,830,919,20230520
54730,9,대구여행,여행,국내여행,대구광역시,88,798,886,20230520
54731,10,춘천여행,여행,국내여행,강원도,74,608,682,20230520
