"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","AREA_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"42422","1","제주여행","여행","국내여행","제주특별자치도","2336","207","2543","20200315"
"42423","2","강릉여행","여행","국내여행","강원도","849","121","970","20200315"
"42424","3","부산여행","여행","국내여행","부산광역시","727","107","834","20200315"
"42425","4","여수여행","여행","국내여행","전라남도","703","84","787","20200315"
"42426","5","속초여행","여행","국내여행","강원도","675","78","753","20200315"
"42427","6","전주여행","여행","국내여행","전라북도","457","40","497","20200315"
"42428","7","목포여행","여행","국내여행","전라남도","372","46","418","20200315"
"42429","8","남해여행","여행","국내여행","경상남도","365","46","411","20200315"
"42430","9","경주여행","여행","국내여행","경상북도","355","53","408","20200315"
"42431","10","군산여행","여행","국내여행","전라북도","324","46","370","20200315"
