SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
54392,1,부산여행,여행,국내여행,부산광역시,814,2177,2991,20230417
54393,2,여수여행,여행,국내여행,전라남도,541,1687,2228,20230417
54394,3,경주여행,여행,국내여행,경상북도,580,1443,2023,20230417
54395,4,제주여행,여행,국내여행,제주특별자치도,462,1481,1943,20230417
54396,5,강릉여행,여행,국내여행,강원도,383,1045,1428,20230417
54397,6,군산여행,여행,국내여행,전라북도,315,1091,1406,20230417
54398,7,전주여행,여행,국내여행,전라북도,327,1037,1364,20230417
54399,8,남해여행,여행,국내여행,경상남도,256,734,990,20230417
54400,9,속초여행,여행,국내여행,강원도,241,668,909,20230417
54401,10,대구여행,여행,국내여행,대구광역시,232,633,865,20230417
