SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
53542,1,부산여행,여행,국내여행,부산광역시,422,3410,3832,20230123
53543,2,제주여행,여행,국내여행,제주특별자치도,186,2122,2308,20230123
53544,3,여수여행,여행,국내여행,전라남도,132,2063,2195,20230123
53545,4,경주여행,여행,국내여행,경상북도,153,1655,1808,20230123
53546,5,군산여행,여행,국내여행,전라북도,90,1568,1658,20230123
53547,6,강릉여행,여행,국내여행,강원도,165,1456,1621,20230123
53548,7,전주여행,여행,국내여행,전라북도,102,1049,1151,20230123
53549,8,속초여행,여행,국내여행,강원도,77,902,979,20230123
53550,9,대구여행,여행,국내여행,대구광역시,79,879,958,20230123
53551,10,목포여행,여행,국내여행,전라남도,76,785,861,20230123
