SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
54242,1,부산여행,여행,국내여행,부산광역시,216,2034,2250,20230402
54243,2,여수여행,여행,국내여행,전라남도,136,1599,1735,20230402
54244,3,경주여행,여행,국내여행,경상북도,149,1577,1726,20230402
54245,4,군산여행,여행,국내여행,전라북도,93,1289,1382,20230402
54246,5,제주여행,여행,국내여행,제주특별자치도,134,1246,1380,20230402
54247,6,강릉여행,여행,국내여행,강원도,111,915,1026,20230402
54248,7,전주여행,여행,국내여행,전라북도,97,901,998,20230402
54249,8,남해여행,여행,국내여행,경상남도,84,740,824,20230402
54250,9,대구여행,여행,국내여행,대구광역시,80,702,782,20230402
54251,10,속초여행,여행,국내여행,강원도,80,629,709,20230402
