"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","AREA_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"43302","1","제주여행","여행","국내여행","제주특별자치도","1570","544","2114","20200611"
"43303","2","부산여행","여행","국내여행","부산광역시","1185","425","1610","20200611"
"43304","3","강릉여행","여행","국내여행","강원도","806","303","1109","20200611"
"43305","4","여수여행","여행","국내여행","전라남도","795","308","1103","20200611"
"43306","5","경주여행","여행","국내여행","경상북도","649","216","865","20200611"
"43307","6","속초여행","여행","국내여행","강원도","619","235","854","20200611"
"43308","7","남해여행","여행","국내여행","경상남도","543","216","759","20200611"
"43309","8","군산여행","여행","국내여행","전라북도","362","136","498","20200611"
"43310","9","춘천여행","여행","국내여행","강원도","367","124","491","20200611"
"43311","10","전주여행","여행","국내여행","전라북도","357","110","467","20200611"
