"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","AREA_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"47572","1","제주여행","여행","국내여행","제주특별자치도","430","1537","1967","20210812"
"47573","2","부산여행","여행","국내여행","부산광역시","392","1378","1770","20210812"
"47574","3","여수여행","여행","국내여행","전라남도","377","1328","1705","20210812"
"47575","4","경주여행","여행","국내여행","경상북도","423","1136","1559","20210812"
"47576","5","강릉여행","여행","국내여행","강원도","226","987","1213","20210812"
"47577","6","속초여행","여행","국내여행","강원도","216","780","996","20210812"
"47578","7","전주여행","여행","국내여행","전라북도","236","721","957","20210812"
"47579","8","군산여행","여행","국내여행","전라북도","206","714","920","20210812"
"47580","9","남해여행","여행","국내여행","경상남도","250","636","886","20210812"
"47581","10","춘천여행","여행","국내여행","강원도","164","621","785","20210812"
