"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","AREA_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"41302","1","부산여행","여행","국내여행","부산광역시","2321","404","2725","20191124"
"41303","2","제주여행","여행","국내여행","제주특별자치도","1498","223","1721","20191124"
"41304","3","경주여행","여행","국내여행","경상북도","978","125","1103","20191124"
"41305","4","강릉여행","여행","국내여행","강원도","840","155","995","20191124"
"41306","5","여수여행","여행","국내여행","전라남도","808","109","917","20191124"
"41307","6","속초여행","여행","국내여행","강원도","659","105","764","20191124"
"41308","7","전주여행","여행","국내여행","전라북도","625","104","729","20191124"
"41309","8","군산여행","여행","국내여행","전라북도","656","70","726","20191124"
"41310","9","대구여행","여행","국내여행","대구광역시","571","79","650","20191124"
"41311","10","남해여행","여행","국내여행","경상남도","402","60","462","20191124"
