"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","AREA_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"45172","1","제주여행","여행","국내여행","제주특별자치도","300","1832","2132","20201215"
"45173","2","부산여행","여행","국내여행","부산광역시","168","517","685","20201215"
"45174","3","여수여행","여행","국내여행","전라남도","146","417","563","20201215"
"45175","4","강릉여행","여행","국내여행","강원도","150","379","529","20201215"
"45176","5","경주여행","여행","국내여행","경상북도","139","297","436","20201215"
"45177","6","속초여행","여행","국내여행","강원도","117","293","410","20201215"
"45178","7","남해여행","여행","국내여행","경상남도","112","224","336","20201215"
"45179","8","군산여행","여행","국내여행","전라북도","84","198","282","20201215"
"45180","9","전주여행","여행","국내여행","전라북도","88","173","261","20201215"
"45181","10","통영여행","여행","국내여행","경상남도","62","165","227","20201215"
