SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
54662,1,부산여행,여행,국내여행,부산광역시,327,2365,2692,20230514
54663,2,여수여행,여행,국내여행,전라남도,145,1877,2022,20230514
54664,3,경주여행,여행,국내여행,경상북도,172,1676,1848,20230514
54665,4,제주여행,여행,국내여행,제주특별자치도,143,1337,1480,20230514
54666,5,군산여행,여행,국내여행,전라북도,85,1355,1440,20230514
54667,6,강릉여행,여행,국내여행,강원도,139,1033,1172,20230514
54668,7,전주여행,여행,국내여행,전라북도,106,985,1091,20230514
54669,8,대구여행,여행,국내여행,대구광역시,86,751,837,20230514
54670,9,남해여행,여행,국내여행,경상남도,73,754,827,20230514
54671,10,속초여행,여행,국내여행,강원도,88,701,789,20230514
