"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","AREA_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"45402","1","제주여행","여행","국내여행","제주특별자치도","241","992","1233","20210107"
"45403","2","부산여행","여행","국내여행","부산광역시","171","479","650","20210107"
"45404","3","여수여행","여행","국내여행","전라남도","91","263","354","20210107"
"45405","4","강릉여행","여행","국내여행","강원도","112","238","350","20210107"
"45406","5","경주여행","여행","국내여행","경상북도","92","231","323","20210107"
"45407","6","속초여행","여행","국내여행","강원도","80","207","287","20210107"
"45408","7","전주여행","여행","국내여행","전라북도","69","184","253","20210107"
"45409","8","포항여행","여행","국내여행","경상북도","54","151","205","20210107"
"45410","9","군산여행","여행","국내여행","전라북도","51","148","199","20210107"
"45411","10","남해여행","여행","국내여행","경상남도","49","141","190","20210107"
