"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","AREA_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"43162","1","제주여행","여행","국내여행","제주특별자치도","1745","481","2226","20200528"
"43163","2","부산여행","여행","국내여행","부산광역시","939","294","1233","20200528"
"43164","3","여수여행","여행","국내여행","전라남도","838","297","1135","20200528"
"43165","4","강릉여행","여행","국내여행","강원도","700","257","957","20200528"
"43166","5","경주여행","여행","국내여행","경상북도","676","245","921","20200528"
"43167","6","속초여행","여행","국내여행","강원도","653","228","881","20200528"
"43168","7","남해여행","여행","국내여행","경상남도","530","193","723","20200528"
"43169","8","전주여행","여행","국내여행","전라북도","454","179","633","20200528"
"43170","9","군산여행","여행","국내여행","전라북도","386","167","553","20200528"
"43171","10","춘천여행","여행","국내여행","강원도","330","123","453","20200528"
