SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
53692,1,부산여행,여행,국내여행,부산광역시,1057,3158,4215,20230207
53693,2,제주여행,여행,국내여행,제주특별자치도,560,2113,2673,20230207
53694,3,여수여행,여행,국내여행,전라남도,516,1906,2422,20230207
53695,4,경주여행,여행,국내여행,경상북도,489,1597,2086,20230207
53696,5,강릉여행,여행,국내여행,강원도,353,1288,1641,20230207
53697,6,군산여행,여행,국내여행,전라북도,258,1230,1488,20230207
53698,7,전주여행,여행,국내여행,전라북도,326,1102,1428,20230207
53699,8,속초여행,여행,국내여행,강원도,320,902,1222,20230207
53700,9,대구여행,여행,국내여행,대구광역시,254,891,1145,20230207
53701,10,남해여행,여행,국내여행,경상남도,232,611,843,20230207
