SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
53312,1,부산여행,여행,국내여행,부산광역시,834,2831,3665,20230103
53313,2,제주여행,여행,국내여행,제주특별자치도,548,2009,2557,20230103
53314,3,여수여행,여행,국내여행,전라남도,345,1485,1830,20230103
53315,4,강릉여행,여행,국내여행,강원도,396,1178,1574,20230103
53316,5,경주여행,여행,국내여행,경상북도,298,1234,1532,20230103
53317,6,군산여행,여행,국내여행,전라북도,224,1009,1233,20230103
53318,7,속초여행,여행,국내여행,강원도,229,862,1091,20230103
53319,8,전주여행,여행,국내여행,전라북도,220,788,1008,20230103
53320,9,대구여행,여행,국내여행,대구광역시,198,583,781,20230103
53321,10,목포여행,여행,국내여행,전라남도,157,549,706,20230103
