SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
54442,1,부산여행,여행,국내여행,부산광역시,320,2436,2756,20230422
54443,2,여수여행,여행,국내여행,전라남도,175,1652,1827,20230422
54444,3,경주여행,여행,국내여행,경상북도,160,1395,1555,20230422
54445,4,군산여행,여행,국내여행,전라북도,92,1435,1527,20230422
54446,5,제주여행,여행,국내여행,제주특별자치도,146,1177,1323,20230422
54447,6,강릉여행,여행,국내여행,강원도,139,1086,1225,20230422
54448,7,전주여행,여행,국내여행,전라북도,108,965,1073,20230422
54449,8,속초여행,여행,국내여행,강원도,98,894,992,20230422
54450,9,남해여행,여행,국내여행,경상남도,75,731,806,20230422
54451,10,대구여행,여행,국내여행,대구광역시,81,709,790,20230422
