"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","AREA_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"41142","1","부산여행","여행","국내여행","부산광역시","1940","669","2609","20191108"
"41143","2","제주여행","여행","국내여행","제주특별자치도","1133","303","1436","20191108"
"41144","3","경주여행","여행","국내여행","경상북도","975","310","1285","20191108"
"41145","4","여수여행","여행","국내여행","전라남도","803","266","1069","20191108"
"41146","5","강릉여행","여행","국내여행","강원도","724","251","975","20191108"
"41147","6","속초여행","여행","국내여행","강원도","590","173","763","20191108"
"41148","7","대구여행","여행","국내여행","대구광역시","554","171","725","20191108"
"41149","8","군산여행","여행","국내여행","전라북도","528","176","704","20191108"
"41150","9","전주여행","여행","국내여행","전라북도","530","156","686","20191108"
"41151","10","춘천여행","여행","국내여행","강원도","363","137","500","20191108"
