"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","AREA_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"48252","1","제주여행","여행","국내여행","제주특별자치도","624","1811","2435","20211019"
"48253","2","부산여행","여행","국내여행","부산광역시","433","1434","1867","20211019"
"48254","3","경주여행","여행","국내여행","경상북도","514","1273","1787","20211019"
"48255","4","여수여행","여행","국내여행","전라남도","378","964","1342","20211019"
"48256","5","강릉여행","여행","국내여행","강원도","243","668","911","20211019"
"48257","6","전주여행","여행","국내여행","전라북도","208","574","782","20211019"
"48258","7","군산여행","여행","국내여행","전라북도","164","487","651","20211019"
"48259","8","속초여행","여행","국내여행","강원도","176","447","623","20211019"
"48260","9","남해여행","여행","국내여행","경상남도","176","411","587","20211019"
"48261","10","포항여행","여행","국내여행","경상북도","177","405","582","20211019"
