"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","AREA_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"44002","1","제주여행","여행","국내여행","제주특별자치도","1976","517","2493","20200820"
"44003","2","부산여행","여행","국내여행","부산광역시","1847","378","2225","20200820"
"44004","3","여수여행","여행","국내여행","전라남도","1090","343","1433","20200820"
"44005","4","강릉여행","여행","국내여행","강원도","926","249","1175","20200820"
"44006","5","경주여행","여행","국내여행","경상북도","871","274","1145","20200820"
"44007","6","속초여행","여행","국내여행","강원도","824","227","1051","20200820"
"44008","7","남해여행","여행","국내여행","경상남도","575","191","766","20200820"
"44009","8","울산여행","여행","국내여행","울산광역시","511","127","638","20200820"
"44010","9","통영여행","여행","국내여행","경상남도","421","171","592","20200820"
"44011","10","전주여행","여행","국내여행","전라북도","433","133","566","20200820"
