"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","AREA_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"42652","1","제주여행","여행","국내여행","제주특별자치도","1369","288","1657","20200407"
"42653","2","강릉여행","여행","국내여행","강원도","606","260","866","20200407"
"42654","3","부산여행","여행","국내여행","부산광역시","638","212","850","20200407"
"42655","4","여수여행","여행","국내여행","전라남도","512","185","697","20200407"
"42656","5","속초여행","여행","국내여행","강원도","382","187","569","20200407"
"42657","6","남해여행","여행","국내여행","경상남도","333","145","478","20200407"
"42658","7","경주여행","여행","국내여행","경상북도","315","158","473","20200407"
"42659","8","군산여행","여행","국내여행","전라북도","289","134","423","20200407"
"42660","9","전주여행","여행","국내여행","전라북도","278","113","391","20200407"
"42661","10","춘천여행","여행","국내여행","강원도","178","77","255","20200407"
