"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","AREA_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"42132","1","부산여행","여행","국내여행","부산광역시","3062","382","3444","20200215"
"42133","2","제주여행","여행","국내여행","제주특별자치도","2947","407","3354","20200215"
"42134","3","강릉여행","여행","국내여행","강원도","1363","124","1487","20200215"
"42135","4","경주여행","여행","국내여행","경상북도","1347","125","1472","20200215"
"42136","5","여수여행","여행","국내여행","전라남도","1211","133","1344","20200215"
"42137","6","속초여행","여행","국내여행","강원도","884","89","973","20200215"
"42138","7","전주여행","여행","국내여행","전라북도","841","76","917","20200215"
"42139","8","대구여행","여행","국내여행","대구광역시","704","99","803","20200215"
"42140","9","군산여행","여행","국내여행","전라북도","564","56","620","20200215"
"42141","10","남해여행","여행","국내여행","경상남도","507","65","572","20200215"
