SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
54072,1,부산여행,여행,국내여행,부산광역시,649,2094,2743,20230317
54073,2,제주여행,여행,국내여행,제주특별자치도,390,1464,1854,20230317
54074,3,경주여행,여행,국내여행,경상북도,528,1280,1808,20230317
54075,4,여수여행,여행,국내여행,전라남도,406,1387,1793,20230317
54076,5,군산여행,여행,국내여행,전라북도,246,1354,1600,20230317
54077,6,강릉여행,여행,국내여행,강원도,338,901,1239,20230317
54078,7,전주여행,여행,국내여행,전라북도,263,970,1233,20230317
54079,8,속초여행,여행,국내여행,강원도,236,616,852,20230317
54080,9,대구여행,여행,국내여행,대구광역시,195,594,789,20230317
54081,10,남해여행,여행,국내여행,경상남도,207,557,764,20230317
