SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
54792,1,부산여행,여행,국내여행,부산광역시,309,3044,3353,20230527
54793,2,여수여행,여행,국내여행,전라남도,122,2053,2175,20230527
54794,3,군산여행,여행,국내여행,전라북도,100,1818,1918,20230527
54795,4,경주여행,여행,국내여행,경상북도,148,1618,1766,20230527
54796,5,강릉여행,여행,국내여행,강원도,148,1245,1393,20230527
54797,6,제주여행,여행,국내여행,제주특별자치도,110,1165,1275,20230527
54798,7,전주여행,여행,국내여행,전라북도,110,1095,1205,20230527
54799,8,속초여행,여행,국내여행,강원도,98,984,1082,20230527
54800,9,대구여행,여행,국내여행,대구광역시,84,980,1064,20230527
54801,10,남해여행,여행,국내여행,경상남도,88,779,867,20230527
