"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","AREA_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"42032","1","부산여행","여행","국내여행","부산광역시","1689","472","2161","20200205"
"42033","2","제주여행","여행","국내여행","제주특별자치도","1523","369","1892","20200205"
"42034","3","강릉여행","여행","국내여행","강원도","767","270","1037","20200205"
"42035","4","경주여행","여행","국내여행","경상북도","772","248","1020","20200205"
"42036","5","여수여행","여행","국내여행","전라남도","786","223","1009","20200205"
"42037","6","속초여행","여행","국내여행","강원도","510","209","719","20200205"
"42038","7","대구여행","여행","국내여행","대구광역시","418","163","581","20200205"
"42039","8","전주여행","여행","국내여행","전라북도","441","130","571","20200205"
"42040","9","남해여행","여행","국내여행","경상남도","348","135","483","20200205"
"42041","10","통영여행","여행","국내여행","경상남도","321","106","427","20200205"
