SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
53502,1,부산여행,여행,국내여행,부산광역시,683,2237,2920,20230119
53503,2,제주여행,여행,국내여행,제주특별자치도,438,1574,2012,20230119
53504,3,여수여행,여행,국내여행,전라남도,306,1436,1742,20230119
53505,4,경주여행,여행,국내여행,경상북도,325,1121,1446,20230119
53506,5,강릉여행,여행,국내여행,강원도,297,1000,1297,20230119
53507,6,군산여행,여행,국내여행,전라북도,196,857,1053,20230119
53508,7,전주여행,여행,국내여행,전라북도,213,736,949,20230119
53509,8,속초여행,여행,국내여행,강원도,209,648,857,20230119
53510,9,대구여행,여행,국내여행,대구광역시,170,529,699,20230119
53511,10,남해여행,여행,국내여행,경상남도,154,470,624,20230119
