"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","AREA_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"44112","1","제주여행","여행","국내여행","제주특별자치도","378","1430","1808","20200831"
"44113","2","부산여행","여행","국내여행","부산광역시","223","683","906","20200831"
"44114","3","여수여행","여행","국내여행","전라남도","165","505","670","20200831"
"44115","4","강릉여행","여행","국내여행","강원도","136","521","657","20200831"
"44116","5","경주여행","여행","국내여행","경상북도","150","410","560","20200831"
"44117","6","속초여행","여행","국내여행","강원도","107","392","499","20200831"
"44118","7","남해여행","여행","국내여행","경상남도","85","334","419","20200831"
"44119","8","군산여행","여행","국내여행","전라북도","60","233","293","20200831"
"44120","9","통영여행","여행","국내여행","경상남도","89","199","288","20200831"
"44121","10","전주여행","여행","국내여행","전라북도","67","219","286","20200831"
