"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","AREA_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"44872","1","부산여행","여행","국내여행","부산광역시","250","1968","2218","20201115"
"44873","2","제주여행","여행","국내여행","제주특별자치도","221","1903","2124","20201115"
"44874","3","경주여행","여행","국내여행","경상북도","167","1155","1322","20201115"
"44875","4","여수여행","여행","국내여행","전라남도","147","1143","1290","20201115"
"44876","5","강릉여행","여행","국내여행","강원도","136","990","1126","20201115"
"44877","6","군산여행","여행","국내여행","전라북도","80","698","778","20201115"
"44878","7","전주여행","여행","국내여행","전라북도","105","658","763","20201115"
"44879","8","속초여행","여행","국내여행","강원도","113","641","754","20201115"
"44880","9","남해여행","여행","국내여행","경상남도","89","587","676","20201115"
"44881","10","통영여행","여행","국내여행","경상남도","74","463","537","20201115"
